# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cpu-clock'
# Event count (approx.): 15082082067
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
     0.12%  [.] _PyObject_GenericSetAttrWithDict                   -      -            
     0.12%  [.] _PyTrash_begin                                     -      -            
     0.12%  [.] type_call.lto_priv.0                               -      -            
     0.11%  [.] PyNumber_Multiply                                  -      -            
     0.11%  [.] get_tuple_state                                    -      -            
     0.11%  [.] PyObject_CallOneArg.lto_priv.13                    -      -            
     0.11%  [.] PyUnicode_InternInPlace                            -      -            
     0.11%  [.] _PyDict_ContainsId                                 -      -            
     0.11%  [.] _int_malloc                                        -      -            
     0.11%  [.] gc_list_size                                       -      -            
     0.10%  [.] fast_floor_div                                     -      -            
     0.10%  [.] pthread_rwlock_unlock@@GLIBC_2.34                  -      -            
     0.10%  [.] type_getattro.lto_priv.0                           -      -            
     0.09%  [.] PyLong_FromLongLong                                -      -            
     0.09%  [.] _PyObject_FastCallDictTstate                       -      -            
     0.09%  [.] cfunction_vectorcall_FASTCALL_KEYWORDS.lto_priv.0  -      -            
     0.09%  [.] gen_new_with_qualname                              -      -            
     0.09%  [.] long_richcompare.lto_priv.0                        -      -            
     0.09%  [.] unicode_hash.lto_priv.0                            -      -            
     0.09%  [.] 0x0000000000021100                                 -      -            
     0.09%  [.] PyMember_SetOne                                    -      -            
     0.09%  [.] _PyDict_GetItemIdWithError                         -      -            
     0.09%  [.] address_in_range                                   -      -            
     0.09%  [.] app1                                               -      -            
     0.09%  [.] get_gc_state                                       -      -            
     0.09%  [.] intern_strings                                     -      -            
     0.09%  [.] update_one_slot                                    -      -            
     0.09%  [k] 0xffffffff8250f946                                 -      -            
     0.09%  [k] 0xffffffff82565b5d                                 -      -            
     0.09%  [.] 0x0000000000022670                                 -      -            
     0.08%  [.] PyBool_FromLong                                    -      -            
     0.08%  [.] PyObject_Free                                      -      -            
     0.08%  [.] PyObject_GetIter                                   -      -            
     0.08%  [.] PyObject_SetItem                                   -      -            
     0.08%  [.] _PyDict_GetItemHint                                -      -            
     0.08%  [.] _PyTrash_cond                                      -      -            
     0.08%  [.] free_keys_object.lto_priv.0                        -      -            
     0.08%  [.] slot_tp_new                                        -      -            
     0.08%  [.] tupletraverse.lto_priv.0                           -      -            
     0.08%  [.] untrack_tuples                                     -      -            
     0.07%  [.] PyObject_IS_GC                                     -      -            
     0.07%  [.] PyObject_Malloc                                    -      -            
     0.07%  [.] _PyDict_GetItem_KnownHash                          -      -            
     0.07%  [.] _PyEval_BuiltinsFromGlobals                        -      -            
     0.07%  [.] _PyObject_Calloc                                   -      -            
     0.07%  [.] _PyStack_UnpackDict_Free                           -      -            
     0.07%  [.] __strlen_avx2                                      -      -            
     0.07%  [.] _int_free                                          -      -            
     0.07%  [.] cfunction_call.lto_priv.0                          -      -            
     0.07%  [.] code_dealloc.lto_priv.0                            -      -            
     0.07%  [.] get_type_cache.lto_priv.0                          -      -            
     0.07%  [.] intern_string_constants                            -      -            
     0.07%  [.] list_iter.lto_priv.0                               -      -            
     0.07%  [.] object_dealloc.lto_priv.0                          -      -            
     0.07%  [.] vectorcall_maybe.lto_priv.0                        -      -            
     0.07%  [.] PyThreadState_Get                                  -      -            
     0.07%  [.] _PyObject_VectorcallTstate.lto_priv.23             -      -            
     0.07%  [.] _PyObject_VectorcallTstate.lto_priv.6              -      -            
     0.07%  [.] _PyTrash_end                                       -      -            
     0.07%  [.] __strchr_avx2                                      -      -            
     0.07%  [.] find_empty_slot                                    -      -            
     0.07%  [.] list_dealloc.lto_priv.0                            -      -            
     0.07%  [.] new_keys_object.lto_priv.0                         -      -            
     0.07%  [.] object_recursive_isinstance                        -      -            
     0.07%  [.] tp_new_wrapper                                     -      -            
     0.07%  [.] unicode_decode_utf8.lto_priv.0                     -      -            
     0.06%  [.] PyCallable_Check                                   -      -            
     0.06%  [.] PyDict_SetDefault                                  -      -            
     0.06%  [.] PyFrame_BlockSetup                                 -      -            
     0.06%  [.] _PyPegen_is_memoized                               -      -            
     0.06%  [.] __GI___fstatat64                                   -      -            
     0.06%  [.] cfunction_vectorcall_O.lto_priv.0                  -      -            
     0.06%  [.] clear_slots                                        -      -            
     0.06%  [.] descr_check.lto_priv.0                             -      -            
     0.06%  [.] object_isinstance                                  -      -            
     0.06%  [.] object_new.lto_priv.0                              -      -            
     0.06%  [.] super_init.lto_priv.0                              -      -            
     0.06%  [.] tuple_get_empty                                    -      -            
     0.06%  [.] tupleiter_next.lto_priv.0                          -      -            
     0.05%  [.] PyCMethod_New                                      -      -            
     0.05%  [.] _PyMem_DebugRawMalloc                              -      -            
     0.05%  [.] _PyNumber_Index                                    -      -            
     0.05%  [.] __memcmp_avx2_movbe                                -      -            
     0.05%  [.] inherit_slots                                      -      -            
     0.05%  [.] insert_to_emptydict                                -      -            
     0.05%  [.] insert_to_usedpool                                 -      -            
     0.05%  [.] long_add.lto_priv.0                                -      -            
     0.05%  [.] pthread_rwlock_rdlock@GLIBC_2.2.5                  -      -            
