# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 621K of event 'cpu-clock'
# Event count (approx.): 621702702081
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
     0.06%  [.] map_next.lto_priv.0                                -      -            
     0.06%  [.] dictiter_iternextitem.lto_priv.0                   -      -            
     0.06%  [.] PyObject_Free                                      -      -            
     0.06%  [.] func_dealloc.lto_priv.0                            -      -            
     0.06%  [k] 0xffffffff8250f946                                 -      -            
     0.05%  [.] PyObject_Malloc                                    -      -            
     0.05%  [.] PyDict_GetItemWithError                            -      -            
     0.05%  [.] 0x0000000000022670                                 -      -            
     0.05%  [.] PyThreadState_Get                                  -      -            
     0.05%  [.] visit_decref                                       -      -            
     0.05%  [.] get_tuple_state                                    -      -            
     0.05%  [.] tuplesubscript.lto_priv.0                          -      -            
     0.05%  [.] PyIter_Check                                       -      -            
     0.05%  [.] _PyTrash_end                                       -      -            
     0.05%  [.] fast_floor_div                                     -      -            
     0.05%  [.] get_gc_state                                       -      -            
     0.05%  [.] _PyObject_GC_Malloc                                -      -            
     0.04%  [.] _PyMem_DebugRawMalloc                              -      -            
     0.04%  [.] PyErr_Occurred                                     -      -            
     0.04%  [.] builtin_max                                        -      -            
     0.04%  [.] _PyDict_GetItem_KnownHash                          -      -            
     0.04%  [.] insert_to_usedpool                                 -      -            
     0.04%  [.] tupletraverse.lto_priv.0                           -      -            
     0.04%  [.] convert_to_double                                  -      -            
     0.04%  [.] PyType_GenericAlloc                                -      -            
     0.03%  [.] _PyObject_VectorcallTstate.lto_priv.23             -      -            
     0.03%  [.] pymalloc_pool_extend                               -      -            
     0.03%  [.] tuple_iter.lto_priv.0                              -      -            
     0.03%  [.] method_vectorcall                                  -      -            
     0.03%  [.] cfunction_vectorcall_FASTCALL.lto_priv.0           -      -            
     0.03%  [.] PySequence_Contains                                -      -            
     0.03%  [.] free_keys_object.lto_priv.0                        -      -            
     0.03%  [.] update_refs                                        -      -            
     0.03%  [.] __memmove_avx_unaligned_erms                       -      -            
     0.03%  [.] PyObject_CallFinalizer                             -      -            
     0.03%  [.] PyLong_FromLongLong                                -      -            
     0.03%  [.] meth_dealloc.lto_priv.0                            -      -            
     0.03%  [.] tp_new_wrapper                                     -      -            
     0.03%  [k] 0xffffffff82565b5d                                 -      -            
     0.03%  [.] PyArg_ParseTupleAndKeywords                        -      -            
     0.03%  [.] PyCMethod_New                                      -      -            
     0.03%  [.] set_contains_key                                   -      -            
     0.03%  [.] _PyDict_Pop_KnownHash                              -      -            
     0.03%  [.] _PyLong_New                                        -      -            
     0.03%  [.] PyNumber_AsSsize_t                                 -      -            
     0.03%  [.] unpack_stack                                       -      -            
     0.03%  [.] _PyObject_VectorcallTstate.lto_priv.31             -      -            
     0.03%  [.] tuple_get_empty                                    -      -            
     0.03%  [.] list_dealloc.lto_priv.0                            -      -            
     0.03%  [.] cfunction_vectorcall_O.lto_priv.0                  -      -            
     0.03%  [.] long_mul.lto_priv.0                                -      -            
     0.03%  [.] PyObject_GetAttr                                   -      -            
     0.02%  [.] PyLong_AsLongAndOverflow                           -      -            
     0.02%  [.] cleanreturn                                        -      -            
     0.02%  [.] new_keys_object.lto_priv.0                         -      -            
     0.02%  [.] PyNumber_InPlaceAdd                                -      -            
     0.02%  [.] binary_iop1                                        -      -            
     0.02%  [.] dict_dealloc.lto_priv.0                            -      -            
     0.02%  [.] subtype_dealloc.lto_priv.0                         -      -            
     0.02%  [.] _PyObject_VectorcallTstate.lto_priv.14             -      -            
     0.02%  [.] PyFrame_BlockSetup                                 -      -            
     0.02%  [.] PyArg_UnpackTuple                                  -      -            
     0.02%  [.] _PyMem_DebugRawRealloc                             -      -            
     0.02%  [.] PyFrame_BlockPop                                   -      -            
     0.02%  [.] _PyNumber_Index                                    -      -            
     0.02%  [.] tupleitem.lto_priv.0                               -      -            
     0.02%  [.] PySequence_Tuple                                   -      -            
     0.02%  [.] move_unreachable                                   -      -            
     0.02%  [.] app1                                               -      -            
     0.02%  [.] long_add.lto_priv.0                                -      -            
     0.02%  [.] PyMethod_New                                       -      -            
     0.02%  [.] tupleiter_dealloc.lto_priv.0                       -      -            
     0.02%  [.] dict_ass_sub.lto_priv.0                            -      -            
     0.02%  [.] list_resize                                        -      -            
     0.02%  [.] func_descr_get.lto_priv.0                          -      -            
     0.02%  [.] gc_list_size                                       -      -            
     0.02%  [.] PyObject_CallFinalizerFromDealloc                  -      -            
     0.02%  [.] _PyUnicode_CheckConsistency                        -      -            
     0.02%  [.] method_get.lto_priv.0                              -      -            
     0.02%  [.] PyNumber_Add                                       -      -            
     0.02%  [.] PyLong_AsDouble                                    -      -            
     0.02%  [.] _PyTuple_Resize                                    -      -            
     0.02%  [.] tuplegetter_descr_get.lto_priv.0                   -      -            
     0.02%  [.] insert_to_emptydict                                -      -            
     0.02%  [.] long_div.lto_priv.0                                -      -            
     0.02%  [.] lookdict_unicode                                   -      -            
     0.02%  [.] PyObject_IS_GC                                     -      -            
     0.02%  [.] PyObject_SelfIter                                  -      -            
     0.02%  [.] PyTuple_Size                                       -      -            
     0.02%  [.] PyList_Append                                      -      -            
     0.02%  [.] get_type_cache.lto_priv.0                          -      -            
     0.02%  [k] 0xffffffff824c428a                                 -      -            
     0.02%  [.] _PyTuple_MaybeUntrack                              -      -            
     0.02%  [.] set_contains.lto_priv.0                            -      -            
     0.01%  [.] PyGen_NewWithQualName                              -      -            
     0.01%  [.] build_indices                                      -      -            
     0.01%  [.] PyLong_AsSsize_t                                   -      -            
     0.01%  [.] binary_op                                          -      -            
     0.01%  [.] new_dict                                           -      -            
     0.01%  [k] 0xffffffff82986987                                 -      -            
     0.01%  [.] method_dealloc.lto_priv.0                          -      -            
     0.01%  [.] tuple_subtype_new                                  -      -            
     0.01%  [.] long_compare.lto_priv.0                            -      -            
     0.01%  [.] subtype_traverse.lto_priv.0                        -      -            
     0.01%  [.] PyObject_IsTrue                                    -      -            
     0.01%  [.] object_dealloc.lto_priv.0                          -      -            
     0.01%  [.] untrack_tuples                                     -      -            
